Id,name,level,health,damagae,armor,price,sell,goldUpgrade
3,AxeDragon,1,1800,100,40,550,300,100
3,AxeDragon,2,1950,115,40,900,450,150
3,AxeDragon,3,2100,130,40,1300,650,300
3,AxeDragon,4,2250,145,40,1600,800,450
3,AxeDragon,5,2400,160,40,2000,1000,700
3,AxeDragon,6,2550,175,40,2200,1100,1000
3,AxeDragon,7,2700,190,40,2400,1200,1400
3,AxeDragon,8,2850,205,40,2600,1300,1700
3,AxeDragon,9,3000,220,40,2800,1400,2000
3,AxeDragon,10,3150,235,40,3000,1500,2300
3,AxeDragon,11,3300,250,40,3200,1600,2600
3,AxeDragon,12,3450,265,40,3500,1750,2900
3,AxeDragon,13,3600,280,40,3800,1900,3100
3,AxeDragon,14,3750,295,40,4000,2000,3400
3,AxeDragon,15,3900,310,40,4200,2100,3700
3,AxeDragon,16,4050,325,40,4400,2200,4000
3,AxeDragon,17,4200,340,40,4600,2300,4500
3,AxeDragon,18,4350,355,40,4800,2400,0
