Id,name,level,health,damagae,armor,price,sell,goldUpgrade
5,PClock,1,600,30,30,100,50,50
5,PClock,2,700,35,30,150,75,70
5,PClock,3,800,40,30,200,100,90
5,PClock,4,900,50,30,250,125,120
5,PClock,5,1000,60,30,300,150,140
5,PClock,6,1100,70,30,400,200,200
5,PClock,7,1200,80,30,600,300,250
5,PClock,8,1300,90,30,800,400,400
5,PClock,9,1400,100,30,1000,500,600
5,PClock,10,1500,110,30,1200,600,700
5,PClock,11,1600,120,30,1350,700,800
5,PClock,12,1700,130,30,1500,800,900
5,PClock,13,1800,140,30,1650,900,1000
5,PClock,14,1900,150,30,1800,1000,1100
5,PClock,15,2000,160,30,1950,1100,1200
5,PClock,16,2100,170,30,2100,1200,1400
5,PClock,17,2200,180,30,2250,1300,1600
5,PClock,18,2300,200,30,2400,1500,0
