Id,name,level,health,damagae,armor,price,sell,goldUpgrade
4,Robotman,1,1000,50,30,200,100,50
4,Robotman,2,1100,60,30,300,150,100
4,Robotman,3,1200,70,30,400,200,150
4,Robotman,4,1300,80,30,500,250,200
4,Robotman,5,1400,90,30,600,300,250
4,Robotman,6,1500,100,30,700,350,300
4,Robotman,7,1600,110,30,800,400,500
4,Robotman,8,1700,120,30,1000,500,700
4,Robotman,9,1800,130,30,1100,550,900
4,Robotman,10,1900,140,30,1200,600,1000
4,Robotman,11,2000,150,30,1300,650,1100
4,Robotman,12,2100,160,30,1500,750,1300
4,Robotman,13,2200,170,30,1600,800,1400
4,Robotman,14,2300,180,30,1700,850,1500
4,Robotman,15,2400,190,30,1800,900,1700
4,Robotman,16,2500,200,30,2000,1000,2000
4,Robotman,17,2600,210,30,2100,1050,2200
4,Robotman,18,2700,220,30,2300,1150,0
