Id,name,level,health,damagae,armor,price,sell,goldUpgrade
2,SwordDragon,1,1400,130,40,450,220,100
2,SwordDragon,2,1600,140,40,750,375,150
2,SwordDragon,3,1800,150,40,1100,550,300
2,SwordDragon,4,2000,160,40,1500,750,450
2,SwordDragon,5,2300,170,40,1900,900,700
2,SwordDragon,6,2500,180,40,2000,1000,1000
2,SwordDragon,7,2700,190,40,2200,1100,1400
2,SwordDragon,8,2900,200,40,2400,1200,1600
2,SwordDragon,9,3100,210,40,2600,1300,1800
2,SwordDragon,10,3300,220,40,2800,1400,2000
2,SwordDragon,11,3500,230,40,3000,1500,2200
2,SwordDragon,12,3700,240,40,3200,1600,2400
2,SwordDragon,13,3900,250,40,3400,1700,2600
2,SwordDragon,14,4100,260,40,3600,1800,2800
2,SwordDragon,15,4200,270,40,3800,1900,3000
2,SwordDragon,16,4300,280,40,4000,2000,3200
2,SwordDragon,17,4400,290,40,4200,2100,3400
2,SwordDragon,18,4500,300,40,4300,2200,0
