Id,name,level,health,damagae,armor,price,sell,goldUpgrade
1,SickleDragon,1,700,200,40,500,300,100
1,SickleDragon,2,800,220,40,800,400,150
1,SickleDragon,3,900,240,40,1200,600,300
1,SickleDragon,4,1000,260,40,1600,800,450
1,SickleDragon,5,1100,280,40,1800,900,700
1,SickleDragon,6,1200,300,40,2000,1000,1000
1,SickleDragon,7,1300,320,40,2200,1100,1400
1,SickleDragon,8,1400,340,40,2400,1200,1800
1,SickleDragon,9,1500,360,40,2600,1300,1600
1,SickleDragon,10,1600,380,40,2800,1400,2000
1,SickleDragon,11,1700,400,40,3000,1500,2400
1,SickleDragon,12,1800,420,40,3200,1600,2700
1,SickleDragon,13,1900,440,40,3400,1700,3000
1,SickleDragon,14,2000,460,40,3600,1800,3200
1,SickleDragon,15,2100,480,40,3800,1900,3500
1,SickleDragon,16,2200,500,40,4000,2000,3700
1,SickleDragon,17,2300,520,40,4200,2100,4000
1,SickleDragon,18,2400,550,40,4400,2200,0
2,SwordDragon,1,1400,130,40,450,220,100
2,SwordDragon,2,1600,140,40,750,375,150
2,SwordDragon,3,1800,150,40,1100,550,300
2,SwordDragon,4,2000,160,40,1500,750,450
2,SwordDragon,5,2300,170,40,1900,900,700
2,SwordDragon,6,2500,180,40,2000,1000,1000
2,SwordDragon,7,2700,190,40,2200,1100,1400
2,SwordDragon,8,2900,200,40,2400,1200,1600
2,SwordDragon,9,3100,210,40,2600,1300,1800
2,SwordDragon,10,3300,220,40,2800,1400,2000
2,SwordDragon,11,3500,230,40,3000,1500,2200
2,SwordDragon,12,3700,240,40,3200,1600,2400
2,SwordDragon,13,3900,250,40,3400,1700,2600
2,SwordDragon,14,4100,260,40,3600,1800,2800
2,SwordDragon,15,4200,270,40,3800,1900,3000
2,SwordDragon,16,4300,280,40,4000,2000,3200
2,SwordDragon,17,4400,290,40,4200,2100,3400
2,SwordDragon,18,4500,300,40,4300,2200,0
3,AxeDragon,1,1800,100,40,550,300,100
3,AxeDragon,2,1950,115,40,900,450,150
3,AxeDragon,3,2100,130,40,1300,650,300
3,AxeDragon,4,2250,145,40,1600,800,450
3,AxeDragon,5,2400,160,40,2000,1000,700
3,AxeDragon,6,2550,175,40,2200,1100,1000
3,AxeDragon,7,2700,190,40,2400,1200,1400
3,AxeDragon,8,2850,205,40,2600,1300,1700
3,AxeDragon,9,3000,220,40,2800,1400,2000
3,AxeDragon,10,3150,235,40,3000,1500,2300
3,AxeDragon,11,3300,250,40,3200,1600,2600
3,AxeDragon,12,3450,265,40,3500,1750,2900
3,AxeDragon,13,3600,280,40,3800,1900,3100
3,AxeDragon,14,3750,295,40,4000,2000,3400
3,AxeDragon,15,3900,310,40,4200,2100,3700
3,AxeDragon,16,4050,325,40,4400,2200,4000
3,AxeDragon,17,4200,340,40,4600,2300,4500
3,AxeDragon,18,4350,355,40,4800,2400,0
4,Robotman,1,1000,50,30,200,100,50
4,Robotman,2,1100,60,30,300,150,100
4,Robotman,3,1200,70,30,400,200,150
4,Robotman,4,1300,80,30,500,250,200
4,Robotman,5,1400,90,30,600,300,250
4,Robotman,6,1500,100,30,700,350,300
4,Robotman,7,1600,110,30,800,400,500
4,Robotman,8,1700,120,30,1000,500,700
4,Robotman,9,1800,130,30,1100,550,900
4,Robotman,10,1900,140,30,1200,600,1000
4,Robotman,11,2000,150,30,1300,650,1100
4,Robotman,12,2100,160,30,1500,750,1300
4,Robotman,13,2200,170,30,1600,800,1400
4,Robotman,14,2300,180,30,1700,850,1500
4,Robotman,15,2400,190,30,1800,900,1700
4,Robotman,16,2500,200,30,2000,1000,2000
4,Robotman,17,2600,210,30,2100,1050,2200
4,Robotman,18,2700,220,30,2300,1150,0
5,PClock,1,600,30,30,100,50,50
5,PClock,2,700,35,30,150,75,70
5,PClock,3,800,40,30,200,100,90
5,PClock,4,900,50,30,250,125,120
5,PClock,5,1000,60,30,300,150,140
5,PClock,6,1100,70,30,400,200,200
5,PClock,7,1200,80,30,600,300,250
5,PClock,8,1300,90,30,800,400,400
5,PClock,9,1400,100,30,1000,500,600
5,PClock,10,1500,110,30,1200,600,700
5,PClock,11,1600,120,30,1350,700,800
5,PClock,12,1700,130,30,1500,800,900
5,PClock,13,1800,140,30,1650,900,1000
5,PClock,14,1900,150,30,1800,1000,1100
5,PClock,15,2000,160,30,1950,1100,1200
5,PClock,16,2100,170,30,2100,1200,1400
5,PClock,17,2200,180,30,2250,1300,1600
5,PClock,18,2300,200,30,2400,1500,0
