Id,name,level,health,damagae,armor,price,sell,experience,nowExperience,takeDownExperience
1,SickleDragon,1,700,200,40,500,300,100,0,50
2,SickleDragon,1,800,220,40,800,400,150,75
3,SickleDragon,1,900,240,40,1200,600,300,0,150
4,SickleDragon,1,1000,260,40,1600,800,450,0,225
5,SickleDragon,1,1100,280,40,1800,900,700,0,350
6,SickleDragon,1,1200,300,40,2000,1000,1000,0,500
7,SickleDragon,1,1300,320,40,2200,1100,1400,0,700
8,SickleDragon,1,1400,340,40,2400,1200,1800,0,900
9,SickleDragon,1,1500,360,40,2600,1300,2500,0,1250
10,SickleDragon,1,1600,380,40,2800,1400,4200,0,2100
11,SickleDragon,1,1700,400,40,3000,1500,6300,0,3150
12,SickleDragon,1,1800,420,40,3200,1600,8000,0,4000
13,SickleDragon,1,1900,440,40,3400,1700,10200,0,5100
14,SickleDragon,1,2000,460,40,3600,1800,15000,0,7500
15,SickleDragon,1,2100,480,40,3800,1900,20000,0,10000
16,SickleDragon,1,2200,500,40,4000,2000,25000,0,12500
17,SickleDragon,1,2300,520,40,4200,2100,34000,0,17000
18,SickleDragon,1,2400,550,40,4400,2200,50000,0,25000
